id,tool_id,tool_name,person_id,person_name,role,activity,notes
1,1,CMET Tool,4,Andy Stechishin,dev,6,Andy and Dave Hamill are working on adding the CMET ballot history to the database
2,2,Trifolia Workbench HL7 Web Edition,20,Lantana,admin maint,8,
3,9,Publishing Calendars and Schedules,7,Lynn Laakso,maint,8,
4,10,Publishing Facilitators Guide,4,Andy Stechishin,maint,0,
5,12,ART-DECOR,9,The ART-DECOR Expert Group,admin,9,See the ART/DÉCOR website for individual involved in the project
6,22,HL7 V3 PubDb,1,Woody Beeler,dev maint,0,
7,22,HL7 V3 PubDb,7,Lynn Laakso,maint,4,
8,23,HL7 V3 Design Repository,1,Woody Beeler,dev maint,0,
9,23,HL7 V3 Design Repository,6,Jean Duteau,maint,4,Jean has taken over from Woody
10,23,HL7 V3 Design Repository,12,Ted Klein,maint,8,
11,24,The HL7 RMIM Designer,1,Woody Beeler,dev maint,0,
12,24,The HL7 RMIM Designer,2,Lloyd McKenzie,dev,0,
13,25,Rose Tree,1,Woody Beeler,dev maint,0,
14,26,V3 Generator,1,Woody Beeler,dev maint,0,
15,26,V3 Generator,6,Jean Duteau,maint,3,Jean will answer question and may be available to address bugs
16,26,V3 Generator,2,Lloyd McKenzie,dev,1,
17,28,MIF Schemas,2,Lloyd McKenzie,dev,1,
18,29,MIF Utilities,1,Woody Beeler,dev maint,0,
19,30,OID Registry,12,Ted Klein,history,3,Ted was involved in identifying some requirements for the OID registry
20,30,OID Registry,11,HL7 International,maint,5,
21,31,Table 0396 Coding Systems,12,Ted Klein,maint,7,
22,33,V2 Database,15,Frank Oemig,dev,8,
23,34,HL7 V2 PubTool,15,Frank Oemig,dev,8,
24,35,HL7 V3 Pub Tooling,1,Woody Beeler,dev maint,0,
25,35,HL7 V3 Pub Tooling,4,Andy Stechishin,maint,5,
26,35,HL7 V3 Pub Tooling,8,Don Lloyd,maint,0,
27,35,HL7 V3 Pub Tooling,7,Lynn Laakso,maint,4,
28,36,Ballot Database,7,Lynn Laakso,maint,7,
29,37,Ballot Desktop,11,HL7 International,maint,7,
30,38,Project Insight,11,HL7 International,sys-admin,7,
31,39,Go Members,11,HL7 International,support,7,
32,40,Main HL7 Wiki,11,HL7 International,sys-admin,7,
33,41,TSC Wiki,11,HL7 International,sys-admin,7,
34,42,Editing Wiki,11,HL7 International,sys-admin,7,
35,43,Tools and Services Catalogue,4,Andy Stechishin,dev,9,
36,43,Tools and Services Catalogue,10,Results4Care,admin tester,8,
37,44,Ballot Spreadsheet,7,Lynn Laakso,maint,7,
38,45,Ballot Comment Amalgamation Macro Spreadsheet,7,Lynn Laakso,maint,6,
39,46,MAX Extension,5,Michael van der Zel,dev,6,
40,47,DECOR Template Exchange,9,The ART-DECOR Expert Group,maint,7,
41,48,DSTU Comment App,11,HL7 International,maint,6,
42,49,Help Desk,11,HL7 International,support,6,
43,50,WGM Room Booking,11,HL7 International,dev maint,8,
44,51,Conference Call Center,11,HL7 International,maint,7,
45,54,ListServer (Lyris),11,HL7 International,sys-admin,7,
46,68,PubDb Manager,1,Woody Beeler,dev,0,
47,69,Installing and Configuring HL7 Tools,1,Woody Beeler,dev,0,
48,70,Reference Information Model (RIM),1,Woody Beeler,dev maint,0,
49,70,Reference Information Model (RIM),21,Russ Hamm,maint,0,
50,70,Reference Information Model (RIM),6,Jean Duteau,maint,6,
51,70,Reference Information Model (RIM),12,Ted Klein,maint,7,
52,72,V3 Glossary,1,Woody Beeler,dev maint,0,
53,97,HL7 Glossary of Terms,11,HL7 International,maint,4,
54,75,Web Widget,1,Woody Beeler,dev maint,0,
55,83,HAPI Tool,19,James Agnew,admin,9,
56,84,HAPI FHIR,19,James Agnew,admin,9,
57,87,Messaging Workbench,3,Pete Rontney,dev,0,
58,87,Messaging Workbench,18,Matt Graham,maint,5,
59,91,V2.x Proposals Database,11,HL7 International,maint,5,
60,98,Managing the Sparx Enterprise Architect Software Keys Distribution ,11,HL7 International,support,6,
61,99,Request IBM Rational Software Modeler (RSM),11,HL7 International,support,6,
62,100,GForge (HL7 Project Homebase),11,HL7 International,sys-admin,7,
63,103,HL7 Searchable Project Database,11,HL7 International,dev maint,7,
64,104,PBS Metrics Report,11,HL7 International,maint,8,
65,115,HL7 Reference Model,1,Woody Beeler,dev maint,0,
66,115,HL7 Reference Model,21,Russ Hamm,maint,0,
67,115,HL7 Reference Model,6,Jean Duteau,maint,6,
68,115,HL7 Reference Model,12,Ted Klein,maint,7,
69,118,EHR-S FM Profile Designer Tool,4,Andy Stechishin,dev maint,5,
70,118,EHR-S FM Profile Designer Tool,10,Results4Care,admin dev tester support,7,
71,118,EHR-S FM Profile Designer Tool,5,Michael van der Zel,dev,6,
72,119,Manuals for the EHR-S FM Profile Designer tool,10,Results4Care,maint,6,
73,122,SKMT Glossary Tool,17,Heather Grain,support,7,Heather coordinates activities on the SKMT
74,123,FHIR Build,13,Grahame Grieve,dev admin,9,
75,123,FHIR Build,2,Lloyd McKenzie,dev maint,9,
76,123,FHIR Build,14,Josh Mandel,maint,5,
77,124,IG Publisher Documentation,13,Grahame Grieve,dev admin,9,
78,125,IG publisher,13,Grahame Grieve,dev admin,9,
79,127,FHIR Registry,16,Furore,admin maint,9,
80,128,FORGE,16,Furore,admin maint,9,
81,129,Spark FHIR server,16,Furore,admin maint,9,
82,130,FHIR Main Vocabulary Server,13,Grahame Grieve,dev sys-admin,9,
83,55,Vocabulary Tooling,1,Woody Beeler,dev maint,0,
84,55,Vocabulary Tooling,21,Russ Hamm,maint,0,
85,55,Vocabulary Tooling,23,Wilfred Bonney,maint,0,
86,30,OID Registry,23,Wilfred Bonney,maint,0,
