id,name,description,purpose,url,support url,install_url,user_guide_url,technology,version,internal_tf,core_process,functional_area,active,license,aka,workgroup,standard,rollout_date,last_update_date,created_at,dependency,Remarks,Notes
1,CMET Tool,"Track HL7 V3 CMET artifacts, ballots of the artifacts and normative releases of the CMET artifacts",Registry,http://hl7-cmets.herokuapps.com,,,,ror web rdb,beta,t,f,std-dev std-ballot reg-rep,t,epl,,MnM,V3,,2016-08-01,2016-06-01,,,"Currently site is beta and revision are ongoing, site URL may not always work"
2,Trifolia Workbench HL7 Web Edition,"Facilitate the authoring and localization of CDA templates
Provide a searchable / browseable repository of CDA templates
Extend the functionality based on the requirements of the HL7 community
","Browse, edit and create templates/profiles, value sets, and implementation guides",https://trifolia.lantanagroup.com/,,,,c# web,Version 3.0,f,f,std-dev std-pub impl reg-rep,t,OSS,,,CDA Other FHIR,2011-07-19,,2016-06-01,,,
3,Testing Readiness Checklist ,Complete Testing Readiness Checklist ,This checklist is intended to help participants prepare for the testing process.,www.hl7.org/documentcenter/public/implement/conformanceTesting/Testing_Readiness_Checklist.xlsx,,,,excel,2014-03-24,f,f,conf,t,,,,,,2014-03-24,2016-06-01,,new url to the excell document.,
4,Developers Integration Lab,"Allows automated, internet-based interoperability testing against the HL7, IHE, and NwHIN specifications, compliant gateway implementations, and other gateway implementations as well. The DIL tests interoperability with other gateway implementations, hosting multiple gateway implementations for a user to send test messages using multiple testing scenarios.","Testing
The DIL supports both secured and unsecured transport for HL7 messages",http://www.dil.aegis.net/,http://www.dil.aegis.net/documents/DIL%20Participant%20Guide.pdf,,,,,f,f,std-dev impl,t,,DIL,,,,,2016-06-01,,,More about what DIL is can be found with the URL http://www.dil.aegis.net/what-is-the-DIL.html  User requirements are listed in the user guide as well as information how to register and login.
5,DIL Certificate Instructions ,Contains the information you need to download and install your certificate from the DIL as well as additional instructions if you need to add the DIL certificate with any additional certificates to your keystore.,Give instructions,http://www.hl7.org/documentcenter/public_temp_A1BB6FFF-1C23-BA17-0C0D2A8F18063C25/implement/conformanceTesting/certificate_install_instructions.pdf,,,,pdf,Version 1.4,f,f,educate ,t,comm ,,,,,2013-07-22,2016-06-01,,,"© AEGIS.net, Inc., All rights reserved"
6,DIL Training and Demonstration Video,Provide a demonstration of the DIL that will help in addition to the instructions and user guide. ,Give instructions,https://www.youtube.com/channel/UCLJWb9TvjoJuPnTEcj9MsOQ/videos,,,,video,,f,f,educate,t,,,,,2013-08-23,2014-08-15,2016-06-01,,,There are more video's on DIL DIL 3 0 Demo DIL 3 0 Participant Training Video DIL Admin Test Case Configuration Video Introduction to DIL Rules Engine 
7,DIL User Guide ,"Contains the information the user of DIL need to get set up in the DIL, execute test cases and review test case results",Describe the functionality available to a Participant user in the Developer Integration Lab (DIL) application,http://www.dil.aegis.net/documents/DIL%20Participant%20Guide.pdf (from the DIL website),,,,pdf,Version 3.1,f,f,educate,t,comm ,,,,2011-09-19,2014-09-24,2016-06-01,,,
8,"Create Conformance Message/ Send Immunization History 
Conformance Profile",The Send Immunization History Conformance Profile documentation outlines the validation rules and test case data against which test messages will be evaluated in the DIL.,Support for testing in DIL,http://www.hl7.org/documentcenter/public_temp_A2728894-1C23-BA17-0C4F114C682644F0/implement/conformanceTesting/Send%20Immunization%20History%20Conformance%20Profile%20v0.4%20%28Test%20Case%201%20Only%29.pdf,,,,pdf,version 0.1,f,f,educate,t,comm ,,,V2,2014-02-02,,2016-06-01,,,
9,Publishing Calendars and Schedules,Calenders for upcoming ballot cycles,Support for ballot cycle,http://www.hl7.org/special/committees/publishing/schedules.cfm,,,,word pdf,,t,t,std-dev std-ballot,t,,,Pub,V2 V3 CDA FHIR Other,,2016-05-09,2016-06-01,,,Publishing Calendar is updated at each WGM for the next ballot cycle
10,Publishing Facilitators Guide,The V3 Publishing Facilitator's Guide (Style Guide) is published as part of the Version 3 Ballot Web Site,Publishing V3 standards,http://www.hl7.org/v3ballotarchive_temp_A35770DA-1C23-BA17-0C129FAEF0E39E3E/v3ballot/html/welcome/introduction/index.html,,,,mif,,t,f,std-dev std-ballot,t,,,Pub,V3,,2016-04-01,2016-06-01,,,
