id,tool_id,note,note_date,author
1,6,"There are more video's on DIL, but also for other standards accessable through this URL.",2016-06-01,initial load
2,14,"C++, Java, COM/ActiveX
Microsoft.NET (C#, VB.NET, Visual J#)
C++ for Linux
C++ for Solaris",2016-06-01,initial load
3,38,To update projects in Project Insight please go to http://www.hl7.org/documentcenter/public/wg/projectServices/Project%20Insight%20Tip%20Sheet_2011.doc,2016-06-01,initial load
4,41,"The contents of this Wiki are non binding; see the HL7 website for persistent documents (minutes, standards, etc.). The HL7 TSC Wiki currently has 1,522 pages with substantive content. See articles from the main HL7 Wiki on Basic Editing and Help Resources for information about editing the Wiki. To access information, either use the search option or see the section of interest in the table below.",2016-06-01,initial load
5,45,The zip file below contains a spreadsheet and instructions for performing this task.,2016-06-01,initial load
6,49,"Not only for the use of HL7 standards, but also for other HL7 topics.",2016-06-01,initial load
7,54,Members can subscribe to specific workgroups on the listserver. All subscribers to HL7's lists are subject to our listserv usage policy (http://www.hl7.org/myhl7/managelistservs.cfm#listrules).,2016-06-01,initial load
8,56,"You can also view the Version 3 Vocabulary on the V3 Ballot Web Site using the following link:
Version 3 Vocabulary page in the V3 Ballot Website (http://www.hl7.org/v3ballotarchive_temp_0B87DE5E-1C23-BA17-0C7CAAFAB2FA7DE6/v3ballot/html/infrastructure/vocabulary/vocabulary.html).",2016-06-01,initial load
9,63,A copy of the EULA is available at the following location: http://hl7projects.hl7.nscee.edu/tc_include/hl7_eula.html.,2016-06-01,initial load
10,72,"The current V3 Ballot Web Site is always available at: http://www.hl7.org/v3ballot/html/welcome/introduction/index.htm. After clicking into the V3 Ballot Web Site content pages from the Introduction page, use the left-hand navigation tree to go to Background Documents/Glossary.",2016-06-01,initial load
11,74,"The current V3 Ballot Web Site is always available at: http://www.hl7.org/v3ballot/html/welcome/introduction/index.htm. After clicking into the V3 Ballot Web Site content pages from the Introduction page, use the left-hand navigation tree to go to Background Documents/Substantive Change.",2016-06-01,initial load
12,76,Eclipse Public License 1.0,2016-06-18,initial load
13,77,"a. ensure your system is running Java 1.6; and 
b. create a folder C:Xlib to hold temporary files. ",2016-06-18,initial load
14,86,"In its current form, this document is only a recommendation and should not be considered an HL7 standard.
For updates to this document and related information, visit the HL7 Web Site at http://www.hl7.org.  The work of the Conformance Special Interest Group is located under Committees.",2016-06-18,initial load
15,98,The support url is the url to the Sparx website for support.,2016-06-18,initial load
16,100,"GForge assists in the management of the entire development life cycle using Collaborative Development Environment (CDE) tools to assist a team in working together, using message forums and mailing lists, including tools to create and control access to Source Code Management (SCM) repositories. GForge automatically creates a repository and controls access to it depending on the role security settings of the Project.",2016-06-18,initial load
17,101,"More about Work Group Health at the wiki, http://hl7tsc.org/wiki/index.php?title=Work_Group_Health

To update projects in Project Insight please go to http://www.hl7.org/documentcenter/public/wg/projectServices/Project%20Insight%20Tip%20Sheet_2011.doc",2016-06-18,initial load
18,102,The Ballot Guides in this document were developed as a supplement to the HL7 Co-Chair Handbook (http://www.hl7.org/permalink/?CoChairHandbook) to provide a quick reference to information related to each level of HL7 balloting.,2016-06-18,initial load
19,118,"Requires Enterprise Architect (Sparx), the corporate edition",2016-06-18,initial load
